.	{NotreDame_De_Paris.txt=294, Miserables.txt=1855}
1098	{Miserables.txt=1}
11th	{Miserables.txt=1}
12	{Miserables.txt=3}
127	{Miserables.txt=1}
1407	{NotreDame_De_Paris.txt=2}
1481	{NotreDame_De_Paris.txt=1}
1779	{Miserables.txt=1}
1792	{Miserables.txt=1}
1802	{Miserables.txt=1}
1814	{Miserables.txt=13}
1887	{Miserables.txt=1}
1b4-1-cossette-sweeping	{Miserables.txt=1}
2009	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
24	{Miserables.txt=3}
2frontispiece	{Miserables.txt=1}
36	{Miserables.txt=1}
48	{Miserables.txt=1}
61	{NotreDame_De_Paris.txt=5, Miserables.txt=1}
73	{NotreDame_De_Paris.txt=1}
8th	{Miserables.txt=2}
9	{Miserables.txt=2}
9,430	{Miserables.txt=6}
D	{NotreDame_De_Paris.txt=28, Miserables.txt=158}
O	{NotreDame_De_Paris.txt=17, Miserables.txt=136}
Z	{Miserables.txt=1}
abana	{Miserables.txt=1}
abandonment	{NotreDame_De_Paris.txt=4, Miserables.txt=6}
abandons	{NotreDame_De_Paris.txt=1, Miserables.txt=4}
abased	{Miserables.txt=2}
abatis	{Miserables.txt=2}
abbess	{Miserables.txt=1}
abbler	{Miserables.txt=1}
abel	{NotreDame_De_Paris.txt=4, Miserables.txt=2}
abolished	{Miserables.txt=2}
above	{NotreDame_De_Paris.txt=95, Miserables.txt=172}
abre	{Miserables.txt=9}
absenting	{Miserables.txt=1}
absents	{Miserables.txt=1}
acabre	{NotreDame_De_Paris.txt=1}
acacias	{Miserables.txt=2}
accelerated	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
acceptations	{Miserables.txt=1}
accident	{NotreDame_De_Paris.txt=3, Miserables.txt=14}
accomplice	{Miserables.txt=6}
accordingly	{NotreDame_De_Paris.txt=6, Miserables.txt=8}
accoutrement	{NotreDame_De_Paris.txt=2}
acenaire	{Miserables.txt=6}
aces	{Miserables.txt=2}
ach	{NotreDame_De_Paris.txt=19, Miserables.txt=54}
achau	{Miserables.txt=1}
ack-pudding	{Miserables.txt=3}
acquired	{NotreDame_De_Paris.txt=4, Miserables.txt=23}
acra	{Miserables.txt=1}
acrifice	{Miserables.txt=2}
acte	{Miserables.txt=1}
active	{NotreDame_De_Paris.txt=3, Miserables.txt=4}
adcliffe	{Miserables.txt=1}
addition	{NotreDame_De_Paris.txt=5, Miserables.txt=34}
addresses	{NotreDame_De_Paris.txt=1, Miserables.txt=3}
adelonettes	{Miserables.txt=6}
adhered	{NotreDame_De_Paris.txt=1}
adjoined	{Miserables.txt=3}
adjust	{NotreDame_De_Paris.txt=1, Miserables.txt=3}
adjutant-guard	{Miserables.txt=1}
administrative	{Miserables.txt=4}
adopt	{NotreDame_De_Paris.txt=3, Miserables.txt=3}
adorning	{Miserables.txt=1}
adversaries	{Miserables.txt=1}
aedibus	{Miserables.txt=1}
aesarism	{Miserables.txt=1}
aeternam	{Miserables.txt=2}
affiliated	{Miserables.txt=3}
affirm	{NotreDame_De_Paris.txt=5, Miserables.txt=4}
affluents	{Miserables.txt=1}
age	{NotreDame_De_Paris.txt=42, Miserables.txt=162}
aggard	{Miserables.txt=1}
aggressions	{NotreDame_De_Paris.txt=1}
agile	{NotreDame_De_Paris.txt=4, Miserables.txt=4}
agimel	{Miserables.txt=1}
agitate	{Miserables.txt=2}
agnates	{Miserables.txt=1}
agobert	{NotreDame_De_Paris.txt=1}
agonies	{Miserables.txt=1}
agram	{Miserables.txt=3}
agrange	{Miserables.txt=1}
agreeing	{Miserables.txt=2}
agriculture	{Miserables.txt=2}
aground	{NotreDame_De_Paris.txt=2}
aguet	{Miserables.txt=1}
ahiette's	{NotreDame_De_Paris.txt=1}
ahuille	{NotreDame_De_Paris.txt=1}
aiding	{NotreDame_De_Paris.txt=2, Miserables.txt=4}
aint-Andr	{NotreDame_De_Paris.txt=1}
aint-Anne	{Miserables.txt=1}
aint-Etienne	{Miserables.txt=1}
aint-Jacques	{NotreDame_De_Paris.txt=12, Miserables.txt=14}
aint-Jacques-du-Haut-Pas	{Miserables.txt=3}
aint-Joseph	{Miserables.txt=1}
aint-Pol	{NotreDame_De_Paris.txt=7, Miserables.txt=5}
aint-Sulpice	{NotreDame_De_Paris.txt=4, Miserables.txt=8}
ainte-Catherine	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
ainte-Helene	{Miserables.txt=1}
ainte-Honorine	{Miserables.txt=1}
ait	{NotreDame_De_Paris.txt=4, Miserables.txt=12}
aiter	{Miserables.txt=1}
aitland	{Miserables.txt=3}
alas	{NotreDame_De_Paris.txt=5, Miserables.txt=18}
alchemy	{NotreDame_De_Paris.txt=4}
alebranche	{Miserables.txt=2}
alentinian	{Miserables.txt=1}
alestine	{Miserables.txt=1}
alfilatre	{Miserables.txt=1}
aljean,--the	{Miserables.txt=1}
aljean--yes	{Miserables.txt=1}
all,--the	{Miserables.txt=1}
allayed	{Miserables.txt=2}
allegory	{NotreDame_De_Paris.txt=2}
alleret	{NotreDame_De_Paris.txt=1}
alles	{NotreDame_De_Paris.txt=5, Miserables.txt=26}
allocution	{Miserables.txt=1}
alluring	{Miserables.txt=1}
allusions	{NotreDame_De_Paris.txt=2, Miserables.txt=2}
almatie	{Miserables.txt=1}
aloft	{NotreDame_De_Paris.txt=2, Miserables.txt=2}
alon	{Miserables.txt=1}
alternate	{NotreDame_De_Paris.txt=1, Miserables.txt=3}
alternatively	{NotreDame_De_Paris.txt=1}
altpetre	{Miserables.txt=1}
alzapada	{NotreDame_De_Paris.txt=1}
amaritan	{NotreDame_De_Paris.txt=1}
amarque	{Miserables.txt=10}
ambyse	{Miserables.txt=1}
amennais	{Miserables.txt=3}
amiably	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
amlet's	{Miserables.txt=1}
ampan	{Miserables.txt=1}
ampness	{Miserables.txt=1}
amselle--you	{Miserables.txt=1}
analyzed	{Miserables.txt=2}
anaticism	{Miserables.txt=2}
andeleur's	{Miserables.txt=1}
anes	{Miserables.txt=1}
angers	{NotreDame_De_Paris.txt=1}
angrily,--"Come	{NotreDame_De_Paris.txt=1}
anguin	{NotreDame_De_Paris.txt=1}
animam	{NotreDame_De_Paris.txt=1}
ankles	{NotreDame_De_Paris.txt=2, Miserables.txt=4}
annalists	{NotreDame_De_Paris.txt=1}
annerie	{NotreDame_De_Paris.txt=1}
annihilate	{Miserables.txt=2}
anniversary	{Miserables.txt=1}
annoy	{Miserables.txt=3}
annoyance	{NotreDame_De_Paris.txt=2, Miserables.txt=1}
annoying	{NotreDame_De_Paris.txt=3, Miserables.txt=3}
ans	{Miserables.txt=6}
ante	{NotreDame_De_Paris.txt=8, Miserables.txt=15}
antennae	{NotreDame_De_Paris.txt=2, Miserables.txt=3}
antersten	{NotreDame_De_Paris.txt=1}
antidote	{Miserables.txt=1}
antipathy	{Miserables.txt=1}
antiquated	{NotreDame_De_Paris.txt=1, Miserables.txt=5}
anyone	{NotreDame_De_Paris.txt=5, Miserables.txt=7}
apostrophes	{NotreDame_De_Paris.txt=1}
apparently	{NotreDame_De_Paris.txt=2, Miserables.txt=14}
appealed	{Miserables.txt=1}
appellation	{Miserables.txt=5}
applauds	{Miserables.txt=2}
applause	{NotreDame_De_Paris.txt=11, Miserables.txt=5}
apple	{NotreDame_De_Paris.txt=7, Miserables.txt=11}
apple-tree	{Miserables.txt=6}
apple-turnover	{Miserables.txt=2}
appreciate	{NotreDame_De_Paris.txt=1}
apprentice	{NotreDame_De_Paris.txt=1}
apprenticeship	{Miserables.txt=1}
appropriately	{Miserables.txt=1}
approximation	{Miserables.txt=2}
apron	{Miserables.txt=15}
apuchin	{Miserables.txt=1}
aqueduct	{Miserables.txt=2}
arceau	{Miserables.txt=3}
archand	{NotreDame_De_Paris.txt=2}
archiepiscopal	{NotreDame_De_Paris.txt=2}
architectures	{NotreDame_De_Paris.txt=5}
arcissus	{Miserables.txt=1}
ardieu	{NotreDame_De_Paris.txt=7, Miserables.txt=6}
ardis	{Miserables.txt=1}
ardly	{NotreDame_De_Paris.txt=4, Miserables.txt=14}
are	{NotreDame_De_Paris.txt=510, Miserables.txt=2076}
argaret's	{Miserables.txt=1}
argaritam	{NotreDame_De_Paris.txt=1}
argues	{Miserables.txt=1}
arie's	{NotreDame_De_Paris.txt=1}
aright	{Miserables.txt=1}
arines	{Miserables.txt=1}
arivault	{NotreDame_De_Paris.txt=1}
arms	{NotreDame_De_Paris.txt=69, Miserables.txt=197}
arned	{Miserables.txt=1}
arnival	{NotreDame_De_Paris.txt=1, Miserables.txt=4}
aroness	{Miserables.txt=2}
arquis	{NotreDame_De_Paris.txt=1, Miserables.txt=24}
arquise	{Miserables.txt=10}
arrange	{NotreDame_De_Paris.txt=3, Miserables.txt=10}
arrangement	{NotreDame_De_Paris.txt=2, Miserables.txt=5}
arresting	{Miserables.txt=6}
arriages	{Miserables.txt=2}
arrow-brimmed	{Miserables.txt=1}
arsenic	{NotreDame_De_Paris.txt=2}
artha's	{Miserables.txt=1}
artin's	{NotreDame_De_Paris.txt=2}
artistically	{NotreDame_De_Paris.txt=2, Miserables.txt=5}
artouche's	{Miserables.txt=1}
ascent	{NotreDame_De_Paris.txt=5, Miserables.txt=6}
ascetic	{Miserables.txt=4}
asn't	{NotreDame_De_Paris.txt=1}
asperity	{Miserables.txt=1}
asque-Dieu	{NotreDame_De_Paris.txt=9}
assailant	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
assassinate	{Miserables.txt=3}
assau's	{Miserables.txt=1}
asse	{Miserables.txt=1}
assemblage	{Miserables.txt=1}
assemble	{Miserables.txt=1}
assembles	{Miserables.txt=1}
assented	{NotreDame_De_Paris.txt=1}
asserts	{Miserables.txt=1}
assessed	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
asseur-aux-Vaches	{NotreDame_De_Paris.txt=2}
assive	{Miserables.txt=1}
assume	{NotreDame_De_Paris.txt=6, Miserables.txt=5}
astard	{NotreDame_De_Paris.txt=2}
astilian	{NotreDame_De_Paris.txt=1}
astound	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
astrologer	{NotreDame_De_Paris.txt=1}
astrologers	{NotreDame_De_Paris.txt=1}
astute	{Miserables.txt=1}
aterpillar	{Miserables.txt=1}
athan	{Miserables.txt=1}
athers	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
athieu	{NotreDame_De_Paris.txt=2, Miserables.txt=9}
athlete	{Miserables.txt=3}
athurin	{Miserables.txt=2}
atiline	{NotreDame_De_Paris.txt=1}
atin	{NotreDame_De_Paris.txt=23, Miserables.txt=28}
atinist	{Miserables.txt=1}
atisbon	{Miserables.txt=1}
atria	{Miserables.txt=1}
atru	{NotreDame_De_Paris.txt=1}
att	{Miserables.txt=4}
attain	{NotreDame_De_Paris.txt=2, Miserables.txt=4}
attending	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
attends	{Miserables.txt=1}
atter	{Miserables.txt=3}
attired	{NotreDame_De_Paris.txt=3, Miserables.txt=1}
attoir-Saint-Victor	{Miserables.txt=1}
auchelevents	{Miserables.txt=1}
audets	{NotreDame_De_Paris.txt=3}
auditor	{NotreDame_De_Paris.txt=9, Miserables.txt=1}
augirard	{Miserables.txt=18}
augmented	{NotreDame_De_Paris.txt=2, Miserables.txt=17}
augments	{Miserables.txt=1}
augurs	{Miserables.txt=2}
aul-Louis	{Miserables.txt=1}
aunt	{NotreDame_De_Paris.txt=2, Miserables.txt=35}
aunty	{Miserables.txt=1}
auphiny	{NotreDame_De_Paris.txt=1}
aurent	{NotreDame_De_Paris.txt=2}
auricula	{Miserables.txt=1}
ausion	{Miserables.txt=1}
autumn	{Miserables.txt=7}
autun	{Miserables.txt=1}
auvain	{Miserables.txt=1}
avaignac	{Miserables.txt=1}
aval	{Miserables.txt=1}
avalanches	{Miserables.txt=2}
avet	{Miserables.txt=3}
aviguer	{Miserables.txt=1}
avoir	{Miserables.txt=1}
avor	{Miserables.txt=1}
avottes	{Miserables.txt=1}
avroche	{Miserables.txt=291}
awakes	{Miserables.txt=2}
awarded	{Miserables.txt=1}
awate	{Miserables.txt=1}
ays	{NotreDame_De_Paris.txt=1, Miserables.txt=6}
azurini	{NotreDame_De_Paris.txt=1}
aître	{NotreDame_De_Paris.txt=1}
backgrounds	{NotreDame_De_Paris.txt=1}
backward	{NotreDame_De_Paris.txt=4, Miserables.txt=6}
bagpipes	{Miserables.txt=2}
bailiwick	{NotreDame_De_Paris.txt=3}
baker	{NotreDame_De_Paris.txt=3, Miserables.txt=12}
balcony	{NotreDame_De_Paris.txt=19, Miserables.txt=5}
bale	{Miserables.txt=1}
ballast	{NotreDame_De_Paris.txt=1}
balustrades	{NotreDame_De_Paris.txt=3}
banners	{NotreDame_De_Paris.txt=5, Miserables.txt=1}
barbaric	{Miserables.txt=1}
bare-armed	{Miserables.txt=2}
barge	{NotreDame_De_Paris.txt=1}
barkers	{Miserables.txt=1}
barns	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
barrels	{NotreDame_De_Paris.txt=1, Miserables.txt=5}
barricaded	{NotreDame_De_Paris.txt=2, Miserables.txt=10}
barring	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
bas-reliefs,--she	{NotreDame_De_Paris.txt=1}
bases	{NotreDame_De_Paris.txt=2, Miserables.txt=1}
basket--that	{Miserables.txt=1}
basket-handle	{Miserables.txt=1}
bass	{NotreDame_De_Paris.txt=4, Miserables.txt=1}
bateau	{NotreDame_De_Paris.txt=1}
bated	{Miserables.txt=1}
battering-ram	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
battle	{NotreDame_De_Paris.txt=10, Miserables.txt=125}
bayonet	{Miserables.txt=15}
bd-el-Kader	{Miserables.txt=1}
beak	{NotreDame_De_Paris.txt=3, Miserables.txt=7}
beckoned	{NotreDame_De_Paris.txt=1}
bed.---The	{NotreDame_De_Paris.txt=1}
bees	{NotreDame_De_Paris.txt=3, Miserables.txt=11}
began	{NotreDame_De_Paris.txt=120, Miserables.txt=232}
begaye	{Miserables.txt=1}
beheld	{NotreDame_De_Paris.txt=110, Miserables.txt=148}
beholds	{NotreDame_De_Paris.txt=5, Miserables.txt=22}
belief	{NotreDame_De_Paris.txt=1, Miserables.txt=9}
belle	{NotreDame_De_Paris.txt=2, Miserables.txt=1}
belongs	{NotreDame_De_Paris.txt=9, Miserables.txt=22}
bend	{NotreDame_De_Paris.txt=3, Miserables.txt=15}
benefactors	{Miserables.txt=1}
benefit	{NotreDame_De_Paris.txt=2, Miserables.txt=12}
bequeath	{Miserables.txt=2}
bergere	{Miserables.txt=2}
beside	{NotreDame_De_Paris.txt=42, Miserables.txt=112}
besiege	{NotreDame_De_Paris.txt=1}
best,--permission	{Miserables.txt=1}
best-planned	{Miserables.txt=1}
bestows	{Miserables.txt=4}
bete	{Miserables.txt=1}
betimes	{Miserables.txt=2}
betook	{NotreDame_De_Paris.txt=3, Miserables.txt=8}
betrothal	{NotreDame_De_Paris.txt=1}
betwixt	{NotreDame_De_Paris.txt=2}
beverages	{Miserables.txt=1}
bibs	{NotreDame_De_Paris.txt=1}
bien	{NotreDame_De_Paris.txt=1, Miserables.txt=5}
bill-stickers	{Miserables.txt=1}
billowing	{Miserables.txt=2}
billows	{NotreDame_De_Paris.txt=1, Miserables.txt=7}
birds	{NotreDame_De_Paris.txt=13, Miserables.txt=49}
biscaien	{Miserables.txt=4}
blackening	{Miserables.txt=1}
blasphemed	{Miserables.txt=1}
blast	{Miserables.txt=4}
bleating	{NotreDame_De_Paris.txt=4}
blind-alley	{Miserables.txt=2}
blindly	{NotreDame_De_Paris.txt=2, Miserables.txt=4}
blink	{Miserables.txt=1}
blockading	{NotreDame_De_Paris.txt=1}
blood-red	{Miserables.txt=1}
blowing	{NotreDame_De_Paris.txt=5, Miserables.txt=14}
blunderbuss	{Miserables.txt=1}
blurred	{Miserables.txt=1}
blushes	{Miserables.txt=2}
boarding-irons	{Miserables.txt=1}
boat's	{NotreDame_De_Paris.txt=1}
bodices	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
